0,1,2,3,4,5,6
304,Ezequiel Lavezzi ,,30,for 2 clubs,39,9
305,Hasan Salihamidzic ,,32,for 2 clubs,88,9
306,Samir Nasri ,,29,for 4 clubs,58,9
307,Corentin Tolisso ,,27,for 2 clubs,37,9
308,Jádson ,,28,,31,9
309,João Mário ,,30,for 3 clubs,32,9
310,Alex Oxlade-Chamberlain ,,29,for 2 clubs,51,9
311,Phillip Cocu ,,36,for 2 clubs,79,9
312,Marc Overmars ,,30,for 3 clubs,56,9
313,Stefan Effenberg ,,33,,46,9
314,Mehdi Taremi ,,31,,24,9
315,Ludovic Giuly ,,31,for 3 clubs,47,9
316,Artem Dzyuba ,,33,for 2 clubs,30,9
317,Lucas Moura ,,30,for 2 clubs,60,9
318,Ryan Babel ,,32,for 4 clubs,47,9
319,Diego Milito ,,32,,22,9
320,Arda Turan ,,30,for 3 clubs,32,9
321,Casemiro ,,31,for 3 clubs,83,9
322,Dirk Kuyt ,,29,,37,9
323,Rafael van der Vaart ,,28,for 4 clubs,37,9
324,Raphaël Guerreiro ,,29,for 2 clubs,41,9
325,Ulf Kirsten ,,36,for 2 clubs,26,9
326,José Mari Bakero ,,32,for 2 clubs,36,9
327,Aaron Ramsey ,,30,for 2 clubs,58,9
328,Marquinhos ,,29,,85,9
329,David Johnson ,,30,for 2 clubs,22,9
330,Benni McCarthy ,,28,for 2 clubs,28,9
331,Obafemi Martins ,,26,for 3 clubs,34,9
332,Teddy Sheringham ,,35,,30,9
333,Juan Sánchez ,,30,,36,9
334,Nicola Amoruso ,,27,,22,9
335,Hans Vanaken ,,30,,38,9
336,Roger Hunt ,,28,,14,9
337,George Best ,,22,,21,9
338,Raoul Lambert ,,33,,15,9
339,Ove Kindvall ,,27,for 2 clubs,18,9
340,Pietro Paolo Virdis ,,31,for 2 clubs,15,9
341,Milan Galic ,,32,for 2 clubs,20,9
342,Dado Prso ,,31,for 2 clubs,21,9
343,Bernd Dürnberger ,,28,,48,9
344,Daniele Massaro ,,34,,39,9
345,Ruud Geels ,,29,for 3 clubs,14,9
346,Bobby Lennox ,,36,,51,9
347,Justo Tejada ,,29,for 2 clubs,10,9
348,Flórián Albert ,,24,,8,9
349,Enrique Mateos ,,26,,16,9
350,Krzysztof Warzycha ,,39,for 2 clubs,34,9
351,Dudu Georgescu ,,32,,11,9
352,Bobby Lennox ,,36,,51,9
353,Justo Tejada ,,29,for 2 clubs,10,9
354,Flórián Albert ,,24,,8,9
355,Silvester Takac ,,31,for 2 clubs,19,9
356,Enrique Mateos ,,26,,16,9
357,Krzysztof Warzycha ,,39,for 2 clubs,34,9
358,Florent Malouda ,,31,for 2 clubs,83,8
359,Andrea Pirlo ,,36,for 3 clubs,108,8
360,Juan Mata ,,33,for 3 clubs,49,8
361,Blaise Matuidi ,,33,for 2 clubs,68,8
362,Julian Draxler ,,29,for 4 clubs,66,8
363,Johan Micoud ,,33,for 2 clubs,33,8
364,Yaya Touré ,,34,for 3 clubs,70,8
365,Oscar ,,24,,30,8
366,Moussa Marega ,,29,,24,8
367,Yacine Brahimi ,,29,,35,8
368,Andreas Möller ,,34,for 2 clubs,32,8
369,Fernando Llorente ,,35,for 4 clubs,39,8
370,Mario Balotelli ,,24,for 4 clubs,32,8
371,Duván Zapata ,,30,for 2 clubs,22,8
372,Gaizka Mendieta ,,29,for 3 clubs,47,8
373,Michel ,,32,,38,8
374,Uli Hoeneß ,,25,,34,8
375,Gianluca Vialli ,,31,for 2 clubs,18,8
376,Uli Hoeneß ,,25,,34,8
377,Eric Cantona ,,30,for 3 clubs,24,8
378,Oliver Neuville ,,29,,37,8
379,Memphis Depay ,,29,for 4 clubs,30,8
380,Rafa ,,30,,37,8
381,Daniele De Rossi ,,35,,61,8
382,Kevin Kuranyi ,,26,for 2 clubs,22,8
383,Juul Ellerman ,,27,,21,8
384,Adrian Ilie ,,26,for 3 clubs,33,8
385,Wynton Rufer ,,31,,10,8
386,Jorginho ,,31,for 3 clubs,43,8
387,Roque Santa Cruz ,,31,for 2 clubs,61,8
388,Nicklas Bendtner ,,27,for 3 clubs,33,8
389,Pierino Prati ,,22,,11,8
390,Marco Di Vaio ,,28,for 2 clubs,23,8
391,Timo Konietzka ,,28,for 2 clubs,10,8
392,Andrey Tikhonov ,,29,,31,8
393,Garry Birtles ,,24,,20,8
394,Marouane Chamakh ,,28,for 2 clubs,30,8
395,Alex Frei ,,32,,13,8
396,Sebastián Losada ,,23,,8,8
397,Alex ,,31,for 3 clubs,66,8
398,Johnny Ekström ,,32,,29,8
399,Émerson ,,31,for 5 clubs,62,8
400,Slavisa Zungul ,,21,,9,8
401,Sigurd Rushfeldt ,,28,,19,8
402,Gary Shaw ,,22,,14,8
403,Luis Suárez ,,32,for 2 clubs,45,8
404,John Bosman ,,29,for 2 clubs,28,8
405,Eduardo ,,32,for 2 clubs,32,8
406,Slavisa Zungul ,,21,,9,8
407,Tore André Flo ,,26,,14,8
408,Fabrizio Ravanelli ,,32,for 3 clubs,20,8
409,António Simões ,,29,,56,8
410,Lex Schoenmaker ,,27,,10,8
411,Domingos Paciência ,,31,,35,8
412,Dimitrios Saravakos ,,33,for 2 clubs,28,8
413,Vincenzo Iaquinta ,,29,for 2 clubs,12,8
414,Antal Dunai ,,32,,20,8
415,Jacques Stockman ,,34,,21,8
416,Raymond Kopa ,,31,for 2 clubs,34,8
417,Ray Crawford ,,26,,4,8
418,Heinz Strehl ,,30,,7,8
419,Dieter Müller ,,31,for 2 clubs,14,8
420,Fernando Gomes ,,31,,22,8
421,Dimitar Marashliev ,,28,,20,8
422,Talisca ,,24,for 2 clubs,22,8
423,Juan Schiaffino ,,34,,13,8
424,Lou Macari ,,23,,12,8
425,Mats Magnusson ,,28,for 2 clubs,21,8
426,János Farkas ,,25,,13,8
427,Adi Preißler ,,36,,10,8
428,László Fazekas ,,31,,34,8
429,Milos Milutinovic ,,22,,4,8
430,Mo Johnston ,,28,for 2 clubs,10,8
431,Vavá ,,24,,10,8
432,Sándor Kocsis ,,31,for 2 clubs,12,8
433,Lajos Csordás ,,25,,8,8
434,Juan Sebastián Verón ,,31,for 4 clubs,60,7
435,Christian Eriksen ,,31,for 4 clubs,53,7
436,Frank Arnesen ,,31,for 3 clubs,25,7
437,Bruno Fernandes ,,29,for 2 clubs,24,7
438,Hakan Çalhanoğlu ,,29,for 2 clubs,41,7
439,Fernandinho ,,37,for 2 clubs,103,7
440,Christian Pulisic ,,25,for 3 clubs,53,7
441,Eidur Gudjohnsen ,,30,for 2 clubs,45,7
442,Héctor Herrera ,,31,for 2 clubs,52,7
443,Juan Bernat ,,30,for 4 clubs,50,7
444,Dennis Bergkamp ,,37,,40,7
445,Stéphane Chapuisat ,,28,,20,7
446,Alejandro Domínguez ,,34,for 4 clubs,33,7
447,Frank Rijkaard ,,32,for 2 clubs,42,7
448,Frank de Boer ,,33,for 3 clubs,81,7
449,Yossi Benayoun ,,31,for 3 clubs,26,7
450,Steve Marlet ,,29,for 3 clubs,19,7
451,Stelios Giannakopoulos ,,28,,33,7
452,Steve Marlet ,,29,for 3 clubs,19,7
453,Adrien Rabiot ,,27,for 2 clubs,60,7
454,Danny ,,32,,34,7
455,Alan Shearer ,,32,for 2 clubs,16,7
456,Branislav Ivanovic ,,35,for 2 clubs,64,7
457,Frédéric Kanouté ,,32,,15,7
458,Santiago Solari ,,31,for 2 clubs,61,7
459,Piotr Zielinski ,,29,,40,7
460,Henrik Larsson ,,35,for 3 clubs,28,7
461,David Neres ,,26,for 2 clubs,36,7
462,Lars Stindl ,,32,,19,7
463,Ramires ,,28,,45,7
464,Ieroklis Stoltidis ,,35,,37,7
465,Georginio Wijnaldum ,,31,for 2 clubs,46,7
466,Julián Álvarez ,,23,,14,7
467,Júnior Moraes ,,34,for 2 clubs,28,7
468,Lars Ricken ,,26,,42,7
469,Luis Díaz ,,25,for 2 clubs,25,7
470,Paul Breitner ,,30,for 2 clubs,37,7
471,Davor Suker ,,31,for 2 clubs,18,7
472,Josip Ilicic ,,33,,17,7
473,Raúl García ,,28,,31,7
474,Mario Basler ,,30,for 2 clubs,23,7
475,Nuno Gomes ,,34,,24,7
476,Karim Adeyemi ,,21,for 2 clubs,22,7
477,Horst Siegl ,,31,,35,7
478,Danny Welbeck ,,26,for 2 clubs,24,7
479,Jan Derek Sørensen ,,29,for 2 clubs,29,7
480,Markus Rosenberg ,,33,for 3 clubs,29,7
481,Jiri Jarosik ,,30,for 4 clubs,43,7
482,Álvaro Negredo ,,32,for 4 clubs,23,7
483,René van de Kerkhof ,,27,,13,7
484,Kai Havertz ,,24,for 3 clubs,44,7
485,Miguel Ángel Angulo ,,30,,52,7
486,Jacques Faivre ,,27,,10,7
487,Andreas Thom ,,34,for 2 clubs,19,7
488,Victor Ikpeba ,,26,for 2 clubs,19,7
489,Henrikh Mkhitaryan ,,34,for 4 clubs,59,7
490,Sérgio Oliveira ,,31,for 2 clubs,27,7
491,Brandão ,,31,for 2 clubs,38,7
492,Franz Roth ,,30,,33,7
493,Davie Wilson ,,26,,23,7
494,David Luiz ,,30,for 3 clubs,54,7
495,Moussa Dembélé ,,24,for 3 clubs,28,7
496,Victor Osimhen ,,24,for 2 clubs,14,7
497,Jimmy Case ,,27,,22,7
498,Wesley Sonck ,,26,for 2 clubs,15,7
499,Arnaut Danjuma ,,26,for 3 clubs,14,7
500,Kubilay Türkyilmaz ,,29,for 2 clubs,16,7
